file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\FactureServiceImpl.java,com.api.apicheck_incheck_out.service.impl.FactureServiceImpl,class,15,16,1,15,15,1,0,42,0,0.4857143,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,2,0,5,0,0,5,0,2,100,5,4,1,2,1,4,4,22,3,19,2,0,0,1,60,1,1
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\factory\DocumentScanValidator.java,com.api.apicheck_incheck_out.service.factory.DocumentScanValidator,class,8,10,2,8,13,1,0,12,10,0.0,NaN,NaN,5,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,4,0,0,3,0,1,0,1,1,0,0,0,24,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\ChambreServiceImpl.java,com.api.apicheck_incheck_out.service.impl.ChambreServiceImpl,class,5,5,0,5,8,1,0,18,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,37,4,0,0,0,0,3,0,3,3,3,1,0,0,1,18,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\factory\ChambreReservationFinder.java,com.api.apicheck_incheck_out.service.factory.ChambreReservationFinder,class,5,7,2,5,5,1,0,5,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,19,3,0,0,0,0,3,0,2,2,2,1,0,0,1,21,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\ChambreService.java,com.api.apicheck_incheck_out.service.ChambreService,interface,1,3,2,1,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\repository\UserRepository.java,com.api.apicheck_incheck_out.repository.UserRepository,interface,5,10,5,5,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,23,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\stripe\service\impl\StripeServiceImpl.java,com.api.apicheck_incheck_out.stripe.service.impl.StripeServiceImpl,class,11,12,1,11,10,1,0,38,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,49,6,0,4,2,2,22,4,12,8,10,1,0,0,0,55,1,3
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\exceptionhandling\DocumentNotScannedException.java,com.api.apicheck_incheck_out.exceptionhandling.DocumentNotScannedException,class,0,1,1,0,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\repository\CheckInRepository.java,com.api.apicheck_incheck_out.repository.CheckInRepository,interface,3,9,6,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\controller\ChambreController.java,com.api.apicheck_incheck_out.controller.ChambreController,class,15,15,0,15,7,1,0,17,0,0.21428573,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,2,0,2,34,6,0,0,0,0,5,0,9,0,9,0,0,0,0,23,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\controller\CheckInController.java,com.api.apicheck_incheck_out.controller.CheckInController,class,25,25,0,25,32,1,0,48,0,0.67142856,0.0,0.0,10,0,10,0,0,0,10,0,0,0,7,2,0,7,0,0,7,0,3,168,25,0,6,4,0,44,3,26,9,26,3,0,0,0,90,1,9
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\SwaggerConfig.java,com.api.apicheck_incheck_out.SwaggerConfig,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,14,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\controller\UserController.java,com.api.apicheck_incheck_out.controller.UserController,class,14,14,0,14,8,1,0,9,0,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,27,7,0,0,0,0,12,0,0,0,1,0,0,0,0,16,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\security\JwtService.java,com.api.apicheck_incheck_out.security.JwtService,class,9,12,3,9,11,1,0,37,34,0.7777778,0.0,0.0,9,0,6,3,0,0,6,0,0,0,1,0,1,0,0,0,0,0,4,51,9,0,0,2,1,7,1,7,1,7,1,0,0,0,39,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\repository\ServiceRepository.java,com.api.apicheck_incheck_out.repository.ServiceRepository,interface,2,6,4,2,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\security\JWTFilter.java,com.api.apicheck_incheck_out.security.JWTFilter,class,12,13,1,12,7,2,0,16,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,24,1,0,3,0,2,8,1,8,0,8,1,0,0,0,44,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\repository\ChambreRepository.java,com.api.apicheck_incheck_out.repository.ChambreRepository,interface,3,6,3,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\entity\Reservation.java,com.api.apicheck_incheck_out.entity.Reservation,class,24,64,40,24,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,10,0,0,0,0,26,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\ReservationServicesServiceImpl.java,com.api.apicheck_incheck_out.service.impl.ReservationServicesServiceImpl,class,11,11,0,11,7,1,0,24,0,0.54285717,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,5,0,0,40,5,0,0,0,0,0,0,12,0,15,0,0,0,3,35,1,0
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\ChambreReservationService.java,com.api.apicheck_incheck_out.service.ChambreReservationService,interface,3,5,2,3,7,1,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
