file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\FactureServiceImpl.java,com.api.apicheck_incheck_out.service.impl.FactureServiceImpl,payerFactureCheckIn/1[com.api.apicheck_incheck_out.dto.PaiementRequestDTO],false,81,6,4,0,4,4,17,25,1,4,1,17,2,1,1,1,0,0,1,0,5,0,2,0,0,1,30,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\FactureServiceImpl.java,com.api.apicheck_incheck_out.service.impl.FactureServiceImpl,validerPaiementStripe/1[com.api.apicheck_incheck_out.dto.PaiementRequestDTO],false,123,2,1,1,0,2,5,10,2,1,1,5,0,0,0,0,1,0,1,0,1,0,1,0,0,0,14,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\FactureServiceImpl.java,com.api.apicheck_incheck_out.service.impl.FactureServiceImpl,"validerPaiementCheckOut/2[com.api.apicheck_incheck_out.entity.Reservation,double]",false,164,3,1,0,1,2,9,10,1,1,2,9,0,0,0,0,1,0,2,0,1,0,1,0,0,0,26,1,1,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\FactureServiceImpl.java,com.api.apicheck_incheck_out.service.impl.FactureServiceImpl,calculerMontantCheckIn/1[com.api.apicheck_incheck_out.entity.Reservation],false,64,3,4,3,1,3,13,13,1,4,1,13,0,0,2,0,0,1,0,2,6,3,1,0,0,0,20,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\FactureServiceImpl.java,com.api.apicheck_incheck_out.service.impl.FactureServiceImpl,"FactureServiceImpl/3[com.api.apicheck_incheck_out.repository.FactureRepository,com.api.apicheck_incheck_out.repository.ReservationRepository,com.api.apicheck_incheck_out.repository.ReservationServiceRepository]",true,37,3,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\FactureServiceImpl.java,com.api.apicheck_incheck_out.service.impl.FactureServiceImpl,payerFactureCheckIn/1[com.api.apicheck_incheck_out.entity.Reservation],false,45,3,2,0,2,1,9,13,0,2,1,9,1,1,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\FactureServiceImpl.java,com.api.apicheck_incheck_out.service.impl.FactureServiceImpl,payerFactureCheckInCache/1[com.api.apicheck_incheck_out.entity.Reservation],false,137,3,2,0,2,2,11,17,0,2,1,11,1,1,1,0,0,0,0,0,2,0,1,0,0,0,16,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\factory\DocumentScanValidator.java,com.api.apicheck_incheck_out.service.factory.DocumentScanValidator,"validateIdentificationDocument/2[com.api.apicheck_incheck_out.entity.User,com.api.apicheck_incheck_out.dto.DocumentScanDTO]",false,25,3,3,1,2,3,3,8,0,0,2,3,2,1,0,2,0,0,0,0,0,0,1,0,0,0,9,2,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\factory\DocumentScanValidator.java,com.api.apicheck_incheck_out.service.factory.DocumentScanValidator,"validateName/2[com.api.apicheck_incheck_out.entity.User,com.api.apicheck_incheck_out.dto.DocumentScanDTO]",false,20,3,2,1,1,3,3,5,0,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,2,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\factory\DocumentScanValidator.java,com.api.apicheck_incheck_out.service.factory.DocumentScanValidator,"validateDocument/2[com.api.apicheck_incheck_out.entity.Reservation,com.api.apicheck_incheck_out.dto.DocumentScanDTO]",false,14,4,3,1,2,1,3,5,0,1,2,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\factory\DocumentScanValidator.java,com.api.apicheck_incheck_out.service.factory.DocumentScanValidator,"validatePassport/2[com.api.apicheck_incheck_out.entity.User,com.api.apicheck_incheck_out.dto.DocumentScanDTO]",false,37,3,2,1,1,3,3,5,0,0,2,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,9,2,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\factory\DocumentScanValidator.java,com.api.apicheck_incheck_out.service.factory.DocumentScanValidator,"validateCIN/2[com.api.apicheck_incheck_out.entity.User,com.api.apicheck_incheck_out.dto.DocumentScanDTO]",false,32,3,2,1,1,3,2,5,0,0,2,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,11,2,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\ChambreServiceImpl.java,com.api.apicheck_incheck_out.service.impl.ChambreServiceImpl,ChambreServiceImpl/1[com.api.apicheck_incheck_out.repository.ChambreRepository],true,19,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\ChambreServiceImpl.java,com.api.apicheck_incheck_out.service.impl.ChambreServiceImpl,getChambres/0,false,56,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\ChambreServiceImpl.java,com.api.apicheck_incheck_out.service.impl.ChambreServiceImpl,deleteChambre/1[java.lang.Long],false,48,1,1,0,1,2,2,6,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,9,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\ChambreServiceImpl.java,com.api.apicheck_incheck_out.service.impl.ChambreServiceImpl,addChambre/1[com.api.apicheck_incheck_out.entity.Chambre],false,24,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\DELL PRO\Desktop\mini_projet\CheckInOutAPI-Hotel-Reservation-Management-main\src\main\java\com\api\apicheck_incheck_out\service\impl\ChambreServiceImpl.java,com.api.apicheck_incheck_out.service.impl.ChambreServiceImpl,"updateChambre/2[java.lang.Long,com.api.apicheck_incheck_out.entity.Chambre]",false,29,2,1,0,1,2,14,16,1,2,2,14,0,0,0,0,0,0,1,0,2,1,1,0,0,0,11,1,0,false
